Assigned to,,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count,z_par_median,z_k_median,z_par_q1,z_par_top1pc,z_kq5_cond_parq1,z_ktop1pc_cond_parq1,z_mr_kq5_pq1,z_mr_ktop1_pq1,z_trend_parq1,z_trend_bottom40,z_count,dis^2_to_1,dis^2_to_2,dis^2_to_3,dis^2_to_4,dis^2_to_5,min_dis^2
1,24,University Of Texas At El Paso,El Paso,TX,42400,38400,28.001381,0.28040349,24.358624,0.35809445,6.8207512,0.10027139,-3.8081267,-2.868252,1665.666667,-1.240034827,0.116442645,1.755634911,-0.437838492,0.341507433,-0.243570786,3.798803032,0.444636259,-0.794256341,-0.27715426,-0.002091933,14.97266135,31.79250246,76.34895558,29.4396558,29.64683607,14.97266135
1,25,CUNY York College,New York,NY,36500,36400,30.660444,0.061246876,22.242035,0.29296112,6.8195066,0.089823179,-7.5450883,-9.301075,368,-1.44731944,-0.03924314,2.056967616,-0.514880312,0.189367697,-0.274505986,3.797856178,0.344241868,-1.608891294,-1.162254785,-0.057920562,16.67661278,37.45045348,86.32275354,33.19465647,35.73273391,16.67661278
1,28,Trocaire College,Buffalo,NY,65400,38200,23.652473,0.23571844,28.479485,0.094428927,6.7361021,0.022334775,-5.20193,-3.2798278,82.5,-0.431976168,0.100874067,1.262804085,-0.453546974,0.637713594,-0.368799233,3.734404552,-0.304238255,-1.098097003,-0.333783512,-0.070203435,14.93563478,27.15500017,73.99577198,24.30434476,27.40528141,14.93563478
1,29,"Western Technical College of El Paso, TX",El Paso,TX,30500,23900,43.691811,0.0505221,15.413422,0,6.7344031,0,-10.416098,-7.0224338,224,-1.658117351,-1.012279301,3.533719795,-0.518650476,-0.301470805,-0.413648433,3.733112004,-0.518847829,-2.234753987,-0.848733564,-0.064115776,19.89256613,57.81845387,114.5622804,44.37938394,45.93412815,19.89256613
1,30,Laredo Community College,Laredo,TX,27400,28700,43.07666,0.052582059,15.581796,0.29380697,6.7121172,0.12656222,-11.329559,-5.2458143,1331.333333,-1.767029605,-0.638633416,3.464009105,-0.517926323,-0.289368137,-0.274104248,3.716157564,0.69725863,-2.433882942,-0.604286164,-0.016475728,20.74504579,54.8917491,104.4159105,46.2435029,47.11164354,20.74504579
1,31,University Of Texas At Brownsville,Brownsville,TX,26400,29800,47.349705,0.14161171,14.033644,0.30516452,6.6448889,0.1444945,-13.627665,-7.4154882,1351.333333,-1.80216259,-0.553006233,3.948242917,-0.486629041,-0.400648804,-0.268709958,3.665012303,0.869565671,-2.934856105,-0.902814432,-0.015615282,25.43311555,61.77257217,111.5630437,53.198222,54.9022237,25.43311555
1,33,"CUNY, Hostos Community College",New York,NY,26700,27700,45.826004,0.050559912,14.185498,0,6.5006471,0,-5.8702636,-6.507854,235.3333333,-1.791622695,-0.716476308,3.775572715,-0.518637183,-0.389733587,-0.413648433,3.555277495,-0.518847829,-1.243789672,-0.777931856,-0.06362819,18.08318119,55.32731017,111.1946122,42.73360842,41.54942555,18.08318119
1,35,Mount St. Mary's College,Los Angeles,CA,48500,44900,21.239695,0.46410161,30.078995,0.70868033,6.3886867,0.15052155,-7.5994849,-11.815791,222.3333333,-1.025723617,0.622421449,0.989381107,-0.373261671,0.752685858,-0.077059348,3.470101403,0.92747817,-1.620749422,-1.508257847,-0.06418748,18.88467806,25.22475017,67.22256027,28.02888578,33.13888449,18.88467806
1,36,Woodbury University,Los Angeles,CA,61900,44300,18.690575,2.2754951,34.051167,0.004210819,6.3643589,0.000787026,-8.2350988,-7.649632,115.6666667,-0.554941616,0.575715713,0.70050746,0.263511497,1.038204302,-0.411648497,3.451593547,-0.511285483,-1.759309395,-0.935030584,-0.068776528,17.94674788,23.12647143,69.33836483,22.79927956,30.18075202,17.94674788
1,37,"California State University, Northridge",Los Angeles,CA,61100,44100,19.794104,0.6706683,31.953251,0.72009653,6.3248596,0.14253666,-6.0573931,-4.577383,2348.666667,-0.583048004,0.560147135,0.825562556,-0.300645684,0.887406775,-0.071637202,3.421543672,0.850753249,-1.284582767,-0.512315828,0.027292312,16.47901846,20.74302284,59.44122951,23.94923754,27.74766547,16.47901846
1,38,CUNY Borough Of Manhattan Community College,New York,NY,33500,31900,35.075352,0.10283593,17.514887,0.13941236,6.1434078,0.048899379,-2.1635275,-4.0798979,2047.333333,-1.552718395,-0.389536158,2.557277753,-0.50026019,-0.150418178,-0.347434265,3.283500619,-0.048985254,-0.435743695,-0.443866203,0.014328253,11.53072556,38.02612403,88.2346834,29.56200644,27.51320823,11.53072556
